type,days_for_shipping_real,days_for_shipment_scheduled,benefit_per_order,sales_per_customer,delivery_status,late_delivery_risk,category_id,category_name,customer_city,customer_country,customer_email,customer_fname,customer_id,customer_lname,customer_password,customer_segment,customer_state,customer_street,customer_zipcode,department_id,department_name,latitude,longitude,market,order_city,order_country,order_customer_id,order_date_dateorders,order_id,order_item_cardprod_id,order_item_discount,order_item_discount_rate,order_item_id,order_item_product_price,order_item_profit_ratio,order_item_quantity,sales,order_item_total,order_profit_per_order,order_region,order_state,order_status,product_card_id,product_category_id,product_image,product_name,product_price,product_status,shipping_date_dateorders,shipping_mode
DEBIT,3,4,91.25,314.64,Advance shipping,0,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Cally,20755,Holloway,XXXXXXXXX,Consumer,PR,5365 Noble Nectar Island,725.0,2,Fitness,18.251453,-66.037056,Pacific Asia,Bekasi,Indonesia,20755,2018-01-31 22:56:00,77202,1360,13.11,0.04,180517,327.75,0.29,1,327.75,314.64,91.25,Southeast Asia,Java Occidental,COMPLETE,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-02-03 22:56:00,Standard Class
TRANSFER,5,4,-249.09,311.36,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Irene,19492,Luna,XXXXXXXXX,Consumer,PR,2679 Rustic Loop,725.0,2,Fitness,18.279451,-66.03706,Pacific Asia,Bikaner,India,19492,2018-01-13 12:27:00,75939,1360,16.39,0.05,179254,327.75,-0.8,1,327.75,311.36,-249.09,South Asia,Rajastán,PENDING,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-18 12:27:00,Standard Class
CASH,4,4,-247.78,309.72,Shipping on time,0,73,Sporting Goods,San Jose,EE. UU.,XXXXXXXXX,Gillian,19491,Maldonado,XXXXXXXXX,Consumer,CA,8510 Round Bear Gate,95125.0,2,Fitness,37.292233,-121.88128,Pacific Asia,Bikaner,India,19491,2018-01-13 12:06:00,75938,1360,18.03,0.06,179253,327.75,-0.8,1,327.75,309.72,-247.78,South Asia,Rajastán,CLOSED,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-17 12:06:00,Standard Class
DEBIT,3,4,22.86,304.81,Advance shipping,0,73,Sporting Goods,Los Angeles,EE. UU.,XXXXXXXXX,Tana,19490,Tate,XXXXXXXXX,Home Office,CA,3200 Amber Bend,90027.0,2,Fitness,34.125946,-118.291016,Pacific Asia,Townsville,Australia,19490,2018-01-13 11:45:00,75937,1360,22.94,0.07,179252,327.75,0.08,1,327.75,304.81,22.86,Oceania,Queensland,COMPLETE,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-16 11:45:00,Standard Class
PAYMENT,2,4,134.21,298.25,Advance shipping,0,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Orli,19489,Hendricks,XXXXXXXXX,Corporate,PR,8671 Iron Anchor Corners,725.0,2,Fitness,18.253769,-66.03705,Pacific Asia,Townsville,Australia,19489,2018-01-13 11:24:00,75936,1360,29.5,0.09,179251,327.75,0.45,1,327.75,298.25,134.21,Oceania,Queensland,PENDING_PAYMENT,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-15 11:24:00,Standard Class
TRANSFER,6,4,18.58,294.98,Shipping canceled,0,73,Sporting Goods,Tonawanda,EE. UU.,XXXXXXXXX,Kimberly,19488,Flowers,XXXXXXXXX,Consumer,NY,2122 Hazy Corner,14150.0,2,Fitness,43.01397,-78.87907,Pacific Asia,Toowoomba,Australia,19488,2018-01-13 11:03:00,75935,1360,32.78,0.1,179250,327.75,0.06,1,327.75,294.98,18.58,Oceania,Queensland,CANCELED,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-19 11:03:00,Standard Class
DEBIT,2,1,95.18,288.42,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Constance,19487,Terrell,XXXXXXXXX,Home Office,PR,1879 Green Pine Bank,725.0,2,Fitness,18.242538,-66.037056,Pacific Asia,Guangzhou,China,19487,2018-01-13 10:42:00,75934,1360,39.33,0.12,179249,327.75,0.33,1,327.75,288.42,95.18,Eastern Asia,Guangdong,COMPLETE,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-15 10:42:00,First Class
TRANSFER,2,1,68.43,285.14,Late delivery,1,73,Sporting Goods,Miami,EE. UU.,XXXXXXXXX,Erica,19486,Stevens,XXXXXXXXX,Corporate,FL,7595 Cotton Log Row,33162.0,2,Fitness,25.92887,-80.16287,Pacific Asia,Guangzhou,China,19486,2018-01-13 10:21:00,75933,1360,42.61,0.13,179248,327.75,0.24,1,327.75,285.14,68.43,Eastern Asia,Guangdong,PROCESSING,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-15 10:21:00,First Class
CASH,3,2,133.72,278.59,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,XXXXXXXXX,Nichole,19485,Olsen,XXXXXXXXX,Corporate,PR,2051 Dusty Route,725.0,2,Fitness,18.233223,-66.037056,Pacific Asia,Guangzhou,China,19485,2018-01-13 10:00:00,75932,1360,49.16,0.15,179247,327.75,0.48,1,327.75,278.59,133.72,Eastern Asia,Guangdong,CLOSED,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-16 10:00:00,Second Class
CASH,2,1,132.15,275.31,Late delivery,1,73,Sporting Goods,San Ramon,EE. UU.,XXXXXXXXX,Oprah,19484,Delacruz,XXXXXXXXX,Corporate,CA,9139 Blue Blossom Court,94583.0,2,Fitness,37.77399,-121.96663,Pacific Asia,Guangzhou,China,19484,2018-01-13 09:39:00,75931,1360,52.44,0.16,179246,327.75,0.48,1,327.75,275.31,132.15,Eastern Asia,Guangdong,CLOSED,1360,73,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2018-01-15 09:39:00,First Class
